time,x,y,z
1751971114.00896,-0.011860166,-0.030960189,0.07632822
1751971114.0169,-0.01182664,-0.031737409,0.076287377
1751971114.02491,-0.01182664,-0.031737409,0.076287377
1751971114.03294,-0.011950732,-0.032783385,0.07621804
1751971114.04097,-0.012148618,-0.033572801,0.076068761
1751971114.04894,-0.012262547,-0.034569024,0.075842103
1751971114.05697,-0.012262547,-0.034569024,0.075842103
1751971114.06495,-0.012281297,-0.035381358,0.075769039
1751971114.07297,-0.012462356,-0.036285858,0.075510387
1751971114.08097,-0.012462356,-0.036285858,0.075510387
1751971114.08893,-0.012583971,-0.037021642,0.075297588
1751971114.09696,-0.012687301,-0.037818742,0.075186613
1751971114.10499,-0.012687301,-0.037818742,0.075186613
1751971114.11297,-0.012715704,-0.038462759,0.075009042
1751971114.12102,-0.012771276,-0.039178607,0.07479768
1751971114.12898,-0.012771276,-0.039178607,0.07479768
1751971114.13697,-0.012718253,-0.039961766,0.074647251
1751971114.14496,-0.012777712,-0.040682399,0.074479524
1751971114.15299,-0.012777712,-0.040682399,0.074479524
1751971114.16099,-0.012803021,-0.0415328,0.07422331
1751971114.169,-0.012593385,-0.042245147,0.074075782
1751971114.17697,-0.012485427,-0.042421339,0.073981956
1751971114.18497,-0.012485427,-0.042421339,0.073981956
1751971114.19301,-0.012328635,-0.042402792,0.073913788
1751971114.20094,-0.01205529,-0.042449758,0.073955941
1751971114.209,-0.01205529,-0.042449758,0.073955941
1751971114.21697,-0.011840618,-0.042700659,0.073865531
1751971114.22498,-0.011561629,-0.042696322,0.073861362
1751971114.233,-0.011561629,-0.042696322,0.073861362
1751971114.24102,-0.011537016,-0.042723435,0.073779387
1751971114.24898,-0.011126829,-0.04282342,0.073856398
1751971114.25697,-0.011126829,-0.04282342,0.073856398
1751971114.26495,-0.010938676,-0.042936864,0.073777634
1751971114.27299,-0.010657264,-0.04295602,0.073806227
1751971114.28098,-0.010657264,-0.04295602,0.073806227
1751971114.28897,-0.010193308,-0.043020292,0.073891689
1751971114.29696,-0.010093945,-0.043087802,0.073797565
1751971114.30495,-0.010093945,-0.043087802,0.073797565
1751971114.31305,-0.009787395,-0.043122593,0.073950784
1751971114.32097,-0.009683278,-0.043212244,0.073874134
1751971114.32898,-0.009450691,-0.043192931,0.073882881
1751971114.33697,-0.009450691,-0.043192931,0.073882881
1751971114.34499,-0.009391551,-0.043222381,0.073888229
1751971114.35297,-0.009301272,-0.043242829,0.07394484
1751971114.36101,-0.009291628,-0.043226264,0.073900589
1751971114.36898,-0.009291628,-0.043226264,0.073900589
1751971114.37697,-0.009324364,-0.043242444,0.07387602
1751971114.38496,-0.009282461,-0.043218422,0.073881183
1751971114.39298,-0.009313398,-0.043189772,0.073888526
1751971114.40099,-0.009313398,-0.043189772,0.073888526
1751971114.40899,-0.009281035,-0.043174001,0.073914947
1751971114.41695,-0.009226879,-0.043178251,0.073955415
1751971114.42495,-0.009226879,-0.043178251,0.073955415
1751971114.43295,-0.009214024,-0.043165463,0.074047523
1751971114.44096,-0.00916945,-0.043173976,0.074170725
1751971114.44896,-0.00916945,-0.043173976,0.074170725
1751971114.45695,-0.009135302,-0.043165067,0.074194333
1751971114.46496,-0.008981883,-0.04316754,0.074410918
1751971114.47297,-0.008878704,-0.043155002,0.074649312
1751971114.48098,-0.008878704,-0.043155002,0.074649312
1751971114.48895,-0.008721303,-0.04316373,0.074848078
1751971114.49697,-0.008581189,-0.043155145,0.07512695
1751971114.50496,-0.008581189,-0.043155145,0.07512695
1751971114.513,-0.008559271,-0.043109991,0.075441986
1751971114.52105,-0.008531985,-0.04306255,0.075634707
1751971114.52895,-0.008446034,-0.04305661,0.075926185
1751971114.53696,-0.008446034,-0.04305661,0.075926185
1751971114.54495,-0.008266441,-0.043042843,0.076328494
1751971114.55296,-0.008090263,-0.043040535,0.076634117
